industry_skill,gap_status,demand_percentage,recommended_priority,recommended_action,explanation
Sharegate,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Sharepoint Administration,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Sharepoint Designer,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
HyperMesh,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Mainframe Db2,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Maintain,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Hv,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Hvac Sales,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Hybrid Agency,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Sfdc Testing,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Sfra,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CISSP,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CLM,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CLRA,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CM360,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Shipping line,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Shooting,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Shop Floor Operations,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Shopify Plus,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Hyperworks,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
I/O,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Maestro,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Magnolia Cms,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Shift,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Shift Operation,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Shift Production,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CEO,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CFS,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CFS Sales,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CISM,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Shaving,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Singing,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Single line diagram,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
C++17,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
C2h,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Machining Component,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CAPEX,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Siemens S7,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Sigma,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Shutdown,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Siebel CRM,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Siebel Workflows,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CAM,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CCTV installation,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CED,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CC,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Shipping Documentation,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business reporting,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Site coordination,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Machine Learning Operations,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Machine Setting,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Machine maintenance,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Machine operating,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Site Operations,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Site Supervisor,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CA Fresher,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Site Head,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Site Incharge,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Bw 4Hana,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Bw On Hana,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
CAE,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Simulation Modeling,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Simulation Tools,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business To Business,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Transition,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Travel Arrangement,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
MTS,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
MVC Architecture,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
MYSQL,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Machine Automation,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Writing,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business advisory,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business analyst,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business case,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business consulting,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Sitecore Cms,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business continuity planning,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business excellence,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business objects,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Insights,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Leadership,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
MS Visio,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
MSTest,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Smartforms,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Smartsheet,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Smartview,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Skill Matrix,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Sla,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Sla Management,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Slack,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Process Re-engineering,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Six Sigma Certified,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Six Sigma Green Belt,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
SketchUp,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Services,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Social Responsibility,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Bumper,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Bus,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
IEC 61439,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
IEEE,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
ICFR,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
ICM,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
MS Office Outlook,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Awareness,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Social Compliance,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Social Media Creatives,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Continuity Planning,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Networking,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Soa Bpel,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Process Analysis,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Business Process Design,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Budget management,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Budgetary Analysis,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
IHS v8.x,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
MRN,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
MS Dynamics,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
IDOC,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Sockets,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Soft skills,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Software Administration,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Software Architecture,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Build,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Builder Finance,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Builders,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Social Studies teacher,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Building Management System,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Bulk Drugs,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
Software Delivery,unmatched,0.0083,None,Monitor,Skill has low demand (0.01%) and is not currently in curriculum.
